book_number,book_name,cover,authors,press,publish_year,price,score,tags
3014177,Black Lagoon Vol. 7,https://img3.doubanio.com/view/subject/s/public/s3972682.jpg,广江礼威,,,$33, ,漫画|日本漫画|広江礼威|日本|枪战|暴力|青年向|黑礁
1834525,清儒學記,https://img1.doubanio.com/view/subject/s/public/s1888767.jpg,:张舜幑,华中师范大学出版社,2005-12-1,25.00, ,张舜徽|学术史|清代|文献学|学案|思想史|學術史|学术
1048095,叛逆年代,https://img9.doubanio.com/view/subject/s/public/s1326404.jpg,:刘轩,长江文艺出版社,2004-07,16.00, ,"刘轩|成长|散文|青春|随笔|刘墉|刘轩,叛逆年代|台湾"
1048097,丛林之书,https://img9.doubanio.com/view/subject/s/public/s1161084.jpg,[英]鲁德亚德·吉卜林,广西师范大学出版社,2002-09,16.80, ,童话|吉卜林|经典|小说|动物|外国文学|童书|第一书库
1965604,景观.建筑手绘效果图表现技法,https://img3.doubanio.com/view/subject/s/public/s8955291.jpg,:赵航,中国青年出版社,2006-11,42.00, ,手绘|建筑|景观|景观.建筑手绘效果图表现技法|设计|手绘表现|绘画|景观·建筑手绘效果图表现技法
3360556,舞台小世界,https://img3.doubanio.com/view/subject/s/public/s3479461.jpg,:王安忆,人民文学出版社,2009-01,32.00, ,王安忆|小说|当代文学|中短篇|中国当代文学|中国|短篇|中国文学
2227749,美食评论家的乔装秘密生活,https://img9.doubanio.com/view/subject/s/public/s5761726.jpg,[美]露丝·雷克尔,中国人民大学出版社,2007-8,36.00, ,美食|饮食|美国|评论|美食评论家的乔装秘密生活|美食文字|生活|饮食文化
3145243,证券投资基金,https://img3.doubanio.com/view/subject/s/public/s3274923.jpg,,中国财政经济出版社,2008-7,40.00, ,证券从业资格|金融|证券从业资格考试|考试学习|财经|证券|Finance|股票
4062752,古典自由主义,https://img3.doubanio.com/view/subject/s/public/s4013992.jpg,大卫·鲍兹,同心出版社,2009,29.80, ,古典自由主义|自由主义|经济学|政治哲学|政治学|哲学|政治|经济
3276325,幼读古诗一百首,https://img3.doubanio.com/view/subject/s/public/s3336321.jpg,:丁新彦,花山文艺出版社,1984年2月,0.70, ,诗歌|童年|唐诗|诗|中国|丁新彦|古诗|古代
4324905,发掘你的竞争力,https://img9.doubanio.com/view/subject/s/public/s4219406.jpg,李令彬,万卷出版公司,2010,28.00, ,职业规划|职场|个人管理|个人提升|励志|认识自己|成长|职业
1310221,趣味离散数学,https://img3.doubanio.com/view/subject/s/public/s24548661.jpg,":王俊邦,罗振声",北京大学出版社,1998-1,10.00, ,离散数学|数学|math|逻辑|趣味|藏书|科普|科学技术
1179160,24天,https://img9.doubanio.com/view/subject/s/public/s1130334.jpg,:[美]丽贝卡·史密斯|约翰·R.埃姆什威勒,上海远东出版社,2004-8,44.80, ,金融|纪实|商业|安然|投资|经济|财经|金融传记
1048075,百年摄影经典,https://img3.doubanio.com/view/subject/s/public/s1035643.jpg,:[美]利娅·本德维尔-瓦尔等,辽宁教育出版社,2001-9,258.00, ,摄影|百年摄影经典|艺术|国家地理|Photography|经典|美国国家地理|摄影作品
1441299,Behold the Man,https://img3.doubanio.com/view/subject/s/public/s3285191.jpg,:MichaelMoorcock,Firebird Distributing,1999-11-11,$14.45, ,科幻|英国|小说|基督|荣格心理学|新浪潮
1703433,探求真理的指导原则,https://img1.doubanio.com/view/subject/s/public/s2211289.jpg,:（法）笛卡尔,商务印书馆,1991-1,12.00, ,哲学|笛卡尔|方法论|思维|西方哲学|笛卡儿|真理|法国
1834511,卡耐基大全集,https://img3.doubanio.com/view/subject/s/public/s2771813.jpg,[美]戴尔·卡耐基,新世界出版社,2008-12,45.00, ,卡耐基|励志|为人处世|智慧|卡耐基大全集|本书内容很全面|卡耐基大全|成功
2995831,アラーキーがゆく ベトナム編 (単行本),https://img3.doubanio.com/view/subject/s/public/s2932843.jpg,荒木経惟,阪急コミュニケーションズ,2008/01/30,"1,890 （税込）", ,荒木经惟|日本|摄影|荒木經惟|写真|荒木経惟|日版|攝影
2227734,李斯特,https://img3.doubanio.com/view/subject/s/public/s2670782.jpg,:[匈]加尔.久尔吉.山道尔,上海文艺出版社,1985,9.85, ,传记|音乐|李斯特|匈牙利|外国|古典音乐|我眼中的经典|我喜欢的
1834517,中国之武士道,https://img1.doubanio.com/view/subject/s/public/s10338807.jpg,梁启超,中国档案出版社,2006-6,28.00, ,梁启超|历史|中国之武士道|武士道|国学|中国|经典|武
1834516,友爱的政治学及其他,https://img1.doubanio.com/view/subject/s/public/s1773618.jpg,[法]雅克·德里达,吉林人民出版社,2006-5,43.50, ,德里达|政治哲学|哲学|法国|政治学|政治|解构主义|解构
1310228,乡土中国 生育制度,https://img1.doubanio.com/view/subject/s/public/s2161158.jpg,:费孝通,北京大学出版社,1998-5-1,26.00, ,社会学|费孝通|乡土中国|人类学|中国|社会|农村|文化
3014162,叔本华的治疗,https://img3.doubanio.com/view/subject/s/public/s3611383.jpg,[美]欧文·亚龙,希望出版社,2005,43.00, ,心理学|欧文·亚隆|心理治疗|叔本华|心理|叔本华的眼泪|心理治疗小说|小说
3538438,一切因你而值得,https://img9.doubanio.com/view/subject/s/public/s3597976.jpg,黎戈,中国工人出版社,2009-1,26.00, ,黎戈|随笔|一切因你而值得|书评|文学|散文|中国文学|中国
4718097,藏情之訣塵,https://img1.doubanio.com/view/subject/s/public/s4230298.jpg,:蛾非,鮮歡文化,2010/3/16,, ,耽美|蛾非|BL|生子|耽美小说|小说|古风|腐
4718093,路人甲的愛情故事,https://img3.doubanio.com/view/subject/s/public/s4244141.jpg,:莫心傷,龙马文化,2009/3/25,, ,耽美|莫心伤|耽美小说|温馨|小说|BL|路人甲的爱情故事|现代
4062735,对生命说是,https://img9.doubanio.com/view/subject/s/public/s4400756.jpg,阿南朵,珠海出版社,2009-10,29.80, ,心理学|灵修|心灵成长|心灵|成长|心理|修身养性|励志
1179127,凯蒂猫的商业奇迹,https://img3.doubanio.com/view/subject/s/public/s2676363.jpg,:贝尔森,电子工业出版社,2004-8,28, ,卡通|动漫|凯蒂猫的商业奇迹|文化产业|商业|体验营销|Kitty|品牌
1179137,抬头望见北斗星,https://img3.doubanio.com/view/subject/s/public/s1223921.jpg,春树,东方出版社,2004-8,16.00, ,春树|抬头望见北斗星|小说|青春|时光难描募。|中国|80后|關于文字
1703426,数理经济学,https://img9.doubanio.com/view/subject/s/public/s5674706.jpg,:R.G.D.艾伦,商务印书馆,2005-11,48.00, ,经济学|数学|经济|数理经济学
1048053,荡漾着优越感的语文,https://img3.doubanio.com/view/subject/s/public/s1035622.jpg,董桥,辽宁教育出版社,1999-01,8.50, ,董桥|随笔|散文|董橋|香港|中国文学|文化|丛书
1048047,风沙星辰,https://img3.doubanio.com/view/subject/s/public/s1342970.jpg,[法]安东尼·德·圣艾修伯里,哈尔滨出版社,2002-3,21.80, ,圣埃克苏佩里|法国|外国文学|风沙星辰|小说|圣艾修伯里|小王子|童话
1179117,爱的魔法汤,https://img1.doubanio.com/view/subject/s/public/s9902819.jpg,猪乐桃,电子工业出版社,2004-08-01,15.0, ,猪乐桃|漫画|绘本|爱的魔法汤|漫画+绘本|可爱　青春|本土漫画|中国
