book_name,english_name,author,img,publish,price,score,description
最好的告别,Being Mortal: Medicine and What Matters in the End,[美] 阿图·葛文德（Atul Gawande） ,https://img3.doubanio.com/view/subject/s/public/s28355811.jpg, 浙江人民出版社 , 54.90元,9.0,关于衰老与死亡，你必须知道的常识
教父,The Godfather,[美]马里奥·普佐 ,https://img1.doubanio.com/view/subject/s/public/s2832939.jpg, 译林出版社 , 23.30元,9.0,“教父三部曲”电影原著
你当像鸟飞往你的山,Educated: A Memoir,[美] 塔拉·韦斯特弗 ,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg, 南海出版公司 , 59.00元,8.9,我来自一个极少有人能想象的家庭，教育给了我新世界
海子的诗,,海子 ,https://img3.doubanio.com/view/subject/s/public/s1067491.jpg, 人民文学出版社 , 15.40,8.9,
呼兰河传,,萧红 ,https://img3.doubanio.com/view/subject/s/public/s1167060.jpg, 百花文艺出版社 , 19.00,8.9,萧红的童年往事
唐诗三百首,,蘅塘退士 ,https://img1.doubanio.com/view/subject/s/public/s1008848.jpg, 中华书局 , 0.65,9.4,熟读唐诗三百首，不会吟诗也会吟
飞鸟集,,[印] 罗宾德拉纳德·泰戈尔 ,https://img3.doubanio.com/view/subject/s/public/s1044902.jpg, 哈尔滨出版社 , 16.80元,8.9,一个淡泊清透的世界
看不见的城市,Le città invisibili,[意大利]伊塔洛·卡尔维诺 ,https://img3.doubanio.com/view/subject/s/public/s1804710.jpg, 译林出版社 , 16.00元,8.8,每一座城市都只在想象中耸立，又在描述中坍圮
鹿鼎记（全五册）,,金庸 ,https://img3.doubanio.com/view/subject/s/public/s3134040.jpg, 广州出版社 花城出版社 , 108.00元,8.8,武侠的解构，流氓的狂欢
朝花夕拾,,鲁迅 ,https://img3.doubanio.com/view/subject/s/public/s2875823.jpg, 人民文学出版社 , 0.25元,8.8,在纷扰中寻出一点闲静
梦里花落知多少,,三毛 ,https://img3.doubanio.com/view/subject/s/public/s2393243.jpg, 北京十月文艺出版社 , 28.00元,8.8,哀而不伤
人生的枷锁,Of Human Bondage,[英] 毛姆 ,https://img1.doubanio.com/view/subject/s/public/s3983958.jpg, 上海译文出版社 , 32.00元,9.0,在混沌纷扰的生活漩流中，寻求人生的真谛
斯通纳,Stoner,[美] 约翰·威廉斯 ,https://img3.doubanio.com/view/subject/s/public/s28332051.jpg, 上海人民出版社 , 49.00元,8.8,即使不能拥有完美的生活，所幸追求过完整的自我
边城,,沈从文 ,https://img1.doubanio.com/view/subject/s/public/s1595557.jpg, 北岳文艺出版社 , 12.00元,8.7,一切充满了善，然而到处是不凑巧
罗杰疑案,The Murder of Roger Ackroyd,[英] 阿加莎·克里斯蒂 ,https://img1.doubanio.com/view/subject/s/public/s1772249.jpg, 人民文学出版社 , 21.00元,8.9,阿加莎·克里斯蒂代表作
王尔德童话,The tales of Oscar Wilde,[英] 王尔德 ,https://img9.doubanio.com/view/subject/s/public/s2019056.jpg, 译林出版社 , 6.00元,9.1,一颗纯美纯善、永难泯灭的童心
鼠疫,La Peste,(法)阿尔贝·加缪 ,https://img3.doubanio.com/view/subject/s/public/s27003191.jpg, 上海译文出版社 , 34.00元,9.1,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
陆犯焉识,,严歌苓 ,https://img3.doubanio.com/view/subject/s/public/s6987353.jpg, 作家出版社 , 35.00元,8.8,翻手为苍凉，覆手为繁华
时间简史,A Brief History of Time,[英] 史蒂芬·霍金 ,https://img3.doubanio.com/view/subject/s/public/s1914861.jpg, 湖南科学技术出版社 , 45.00元,8.8,探索时间和空间的核心秘密
叫魂,Soulstealers: The Chinese Sorcery Scare of 1768,[美] 孔飞力 ,https://img3.doubanio.com/view/subject/s/public/s9015481.jpg, 生活·读书·新知三联书店 上海三联书店 , 38.00元,9.0,1768年中国妖术大恐慌
冬牧场,,李娟 ,https://img3.doubanio.com/view/subject/s/public/s8958901.jpg, 新星出版社 , 29.80元,9.0,阿勒泰的精灵
金色梦乡,ゴールデンスランバー,[日] 伊坂幸太郎 ,https://img9.doubanio.com/view/subject/s/public/s4444885.jpg, 译林出版社 , 35.00元,9.0,伊坂幸太郎代表作
人生的智慧,,[德] 阿图尔·叔本华 ,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg, 上海人民出版社 , 28.00元,9.2,对世俗、实用问题深刻而透彻的讨论
一个陌生女人的来信,Brief einer Unbekannten,[奥] 斯台芬·茨威格 ,https://img1.doubanio.com/view/subject/s/public/s2611329.jpg, 上海译文出版社 , 20.00元,8.7,暗恋的极致
美的历程,,李泽厚 ,https://img3.doubanio.com/view/subject/s/public/s3893343.jpg, 生活·读书·新知三联书店 , 43.00元,9.2,中国美学经典之作
野草,,鲁迅 ,https://img1.doubanio.com/view/subject/s/public/s2364689.jpg, 人民文学出版社 , 0.20元,9.4,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
彷徨,,鲁迅 ,https://img9.doubanio.com/view/subject/s/public/s33500305.jpg, 人民文学出版社 , 0.37元,9.0,路漫漫其修远兮，吾将上下而求索
國史大綱（上下）,,錢穆 ,https://img9.doubanio.com/view/subject/s/public/s6795555.jpg, 商務印書館 , 76.00元,9.3,钱穆中国通史
史蒂夫·乔布斯传,Steve Jobs: A Biography,[美] 沃尔特·艾萨克森 ,https://img3.doubanio.com/view/subject/s/public/s6974202.jpg, 中信出版社 , 68.00元,8.7,完美主义者的最高形态
孩子你慢慢来,,龙应台 ,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg, 生活·读书·新知三联书店 , 28.00元,8.7,我们现在怎样做母亲
苏菲的世界,Sofies verden,[挪] 乔斯坦·贾德 ,https://img3.doubanio.com/view/subject/s/public/s3042670.jpg, 作家出版社 , 26.00元,8.8,哲学启蒙书
孽子,,白先勇 ,https://img3.doubanio.com/view/subject/s/public/s6240330.jpg, 广西师范大学出版社 , 46.00元,9.1,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
爱的艺术,,[美] 艾·弗洛姆 ,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg, 上海译文出版社 , 15.00元,8.8,谦恭地、勇敢地、真诚地和有纪律地爱他人
我也有一个梦想,,林达 ,https://img9.doubanio.com/view/subject/s/public/s2170315.jpg, 生活·读书·新知三联书店 , 25.00元,9.0,在法治国家里，民众怎样运用法律
离开的，留下的,Storia di chi fugge e di chi resta,[意] 埃莱娜·费兰特 ,https://img3.doubanio.com/view/subject/s/public/s29535271.jpg, 人民文学出版社 , 62.00,8.7,探索中年的虚无、困惑、野心和近乎残暴的爱
九州·缥缈录,,江南 ,https://img9.doubanio.com/view/subject/s/public/s28332484.jpg, 人民文学出版社 , 198.00元,8.9,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》
经济学原理（上下）,,[美] 曼昆 ,https://img9.doubanio.com/view/subject/s/public/s1785715.jpg, 机械工业出版社 , 88.00元,9.1,经济学家们的世界观
浮生六记,,（清）沈复 ,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg, 人民文学出版社 , 5.70元,8.8,苟不记之笔墨，未免有辜彼苍之厚
送你一颗子弹,,刘瑜 ,https://img1.doubanio.com/view/subject/s/public/s4243447.jpg, 上海三联书店 , 25.00元,8.6,在这本书里，被“审视”的东西杂七杂八
万水千山走遍,,三毛 ,https://img3.doubanio.com/view/subject/s/public/s1099483.jpg, 哈尔滨出版社 , 13.80,8.8,从遥远的撒哈拉到敦煌戈壁
昨日的世界,Die Welt von Gestern: Erinnerungen eines Europäers,[奥] 斯蒂芬·茨威格 ,https://img1.doubanio.com/view/subject/s/public/s1121598.jpg, 广西师范大学出版社 , 32.00元,9.2,一个高贵而残破的昨日镜像
野火集,,龙应台 ,https://img1.doubanio.com/view/subject/s/public/s1469589.jpg, 文汇出版社 , 25.00元,8.8,中国人，你为什么不生气
情书,ラヴレター,[日] 岩井俊二 ,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg, 天津人民出版社 , 18.00元,8.6,一场同名同姓的误会，两段可贵的爱情
献给阿尔吉侬的花束,Flowers for Algernon,[美] 丹尼尔·凯斯 ,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg, 广西师范大学出版社 , 36.00元,9.1,当声称能改造智能的科学实验选中心智障碍主角
倾城之恋,,张爱玲 ,https://img3.doubanio.com/view/subject/s/public/s4638950.jpg, 北京十月文艺出版社 , 29.80元,8.7,“一对平凡的夫妻”之间的“一点真心”
绿毛水怪,,王小波 ,https://img9.doubanio.com/view/subject/s/public/s3675595.jpg, 时代文艺出版社 , 30.00元,9.0,我们好象在池塘的水底，从一个月亮走向另一个月亮
不能承受的生命之轻,,米兰·昆德拉 ,https://img3.doubanio.com/view/subject/s/public/s4421443.jpg, 上海译文出版社 , 29.00元,8.8,
目送,,龙应台 ,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg, 生活·读书·新知三联书店 , 39.00元,8.6,不必追
亮剑,,都梁 ,https://img1.doubanio.com/view/subject/s/public/s6535918.jpg, 解放军文艺出版社 , 28.00元,8.9,面对强大的对手，明知不敌，也要毅然亮剑
亲爱的安德烈,,龙应台 ,https://img1.doubanio.com/view/subject/s/public/s3993878.jpg, 人民文学出版社 , 26.00,8.6,弭平代沟，跨越文化阻隔
球状闪电,,刘慈欣 ,https://img9.doubanio.com/view/subject/s/public/s26040205.jpg, 四川科学技术出版社 , 22.00元,8.7,量子之外，没有真相
古文观止,,吴楚材 ,https://img3.doubanio.com/view/subject/s/public/s1325863.jpg, 中华书局 , 21.00元,9.1,收录自先秦至明末的散文二百二十二篇
枪炮、病菌与钢铁,"Guns, Germs and Steel: The Fates of Human Societies",[美] 贾雷德·戴蒙德 ,https://img3.doubanio.com/view/subject/s/public/s1738643.jpg, 上海世纪出版集团 , 45.00元,8.7,人类社会的命运
面纱,The Painted Veil,(英)W.萨默塞特·毛姆 ,https://img9.doubanio.com/view/subject/s/public/s9038826.jpg, 重庆 , 32.00元,8.7,揭去生活的面纱
温柔的夜,,三毛 ,https://img1.doubanio.com/view/subject/s/public/s2391798.jpg, 北京十月文艺出版社 , 28.00元,9.1,三毛在加纳利群岛的生活
银河系漫游指南,The Hitchhiker's Guide to the Galaxy,[英] 道格拉斯·亚当斯 ,https://img3.doubanio.com/view/subject/s/public/s3696740.jpg, 四川科学技术出版社 , 16.00元,8.8,一场穿越银河的冒险
解忧杂货店,ナミヤ雑貨店の奇蹟,[日] 东野圭吾 ,https://img3.doubanio.com/view/subject/s/public/s27264181.jpg, 南海出版公司 , 39.50元,8.5,现代人内心流失的东西，这家杂货店能帮你找回
渴望生活,Lust for Life,[美] 欧文·斯通 ,https://img1.doubanio.com/view/subject/s/public/s3099438.jpg, 北京十月文艺出版社 , 29.80元,9.2,梵高悲惨而成就辉煌的人生
四世同堂,,老舍 ,https://img1.doubanio.com/view/subject/s/public/s3228699.jpg, 北京十月文艺出版社 , 36.00元,9.3,北平沦陷时代广大平民的悲惨遭遇
麦琪的礼物,,[美] 欧·亨利 ,https://img3.doubanio.com/view/subject/s/public/s1137441.jpg, 上海社会科学院出版社 , 25.00元,8.6,日常的奇迹
激荡三十年,,吴晓波 ,https://img3.doubanio.com/view/subject/s/public/s3203360.jpg, 中信出版社 , 32.00元,8.6,中国企业1978—2008
万物有灵且美,All Things Bright and Beautiful,[英] 吉米·哈利 ,https://img9.doubanio.com/view/subject/s/public/s4093514.jpg, 中国城市出版社 , 28.80,8.8,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
尼罗河上的惨案,Death on the Nile,[英] 阿加莎·克里斯蒂 ,https://img1.doubanio.com/view/subject/s/public/s1683067.jpg, 人民文学出版社 , 22.00元,8.7,阿加莎·克里斯蒂代表作
我的阿勒泰,,李娟 ,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg, 云南人民出版社 , 22.00元,8.8,描写疆北阿勒泰地区生活和风情的原生态散文集
阿勒泰的角落,,李娟 ,https://img3.doubanio.com/view/subject/s/public/s6185540.jpg, 万卷出版公司 , 25.00元,9.1,白雪和阳光，青草和白桦林
半生缘,,张爱玲 ,https://img1.doubanio.com/view/subject/s/public/s2838737.jpg, 北京十月文艺出版社 , 28.00元,8.6,世钧，我们回不去了
德米安,Demian: die geschichte von emil sinclairs jugend,[德] 赫尔曼·黑塞 ,https://img9.doubanio.com/view/subject/s/public/s3979854.jpg, 上海人民出版社 , 25.00元,9.0,少年辛克莱寻找通向自身之路的艰辛历程
故事,Story,[美] 罗伯特·麦基 ,https://img1.doubanio.com/view/subject/s/public/s27598249.jpg, 天津人民出版社 , 68.00元,9.2,材质、结构、风格和银幕剧作的原理
小径分岔的花园,,[阿根廷] 豪·路·博尔赫斯 ,https://img1.doubanio.com/view/subject/s/public/s29746559.jpg, 上海译文出版社 , 23.00,8.9,一个谜语，谜底正是时间
霸王别姬,,李碧华 ,https://img9.doubanio.com/view/subject/s/public/s24964086.jpg, 人民文学出版社 , 10.20元,9.1,人间，只是抹去了脂粉的脸
天朝的崩溃,,茅海建 ,https://img3.doubanio.com/view/subject/s/public/s1681072.jpg, 生活·读书·新知三联书店 , 32.00元,9.1,鸦片战争再研究
社会心理学,,[美] 戴维·迈尔斯 ,https://img3.doubanio.com/view/subject/s/public/s1670932.jpg, 人民邮电出版社 , 68.00元,9.0,人们是如何思索、影响他人并与他人建立联系的
受戒,,汪曾祺 ,https://img3.doubanio.com/view/subject/s/public/s3628082.jpg, 漓江出版社 , 3.95元,9.3,江南乡镇民间生活，健康淳朴的人性
